country,year,production_tonnes
Brazil,1961,2228704
Brazil,1962,2190303
Brazil,1963,1650527
Brazil,1964,1042013
Brazil,1965,2294047
Brazil,1966,1202868
Brazil,1967,1507500
Brazil,1968,1057700
Brazil,1969,1283500
Brazil,1970,754800
Brazil,1971,1551462
Brazil,1972,1495705
Brazil,1973,872897
Brazil,1974,1615309
Brazil,1975,1272298
Brazil,1976,375985
Brazil,1977,975385
Brazil,1978,1267661
Brazil,1979,1332772
Brazil,1980,1061195
Brazil,1981,2032210
Brazil,1982,957931
Brazil,1983,1671588
Brazil,1984,1420281
Brazil,1985,1910646
Brazil,1986,1041406
Brazil,1987,2202708
Brazil,1988,1348014
Brazil,1989,1532335
Brazil,1990,1464856
Brazil,1991,1520382
Brazil,1992,1294373
Brazil,1993,1278759
Brazil,1994,1307289
Brazil,1995,930135
Brazil,1996,1369196
Brazil,1997,1228513
Brazil,1998,1689366
Brazil,1999,1631852
Brazil,2000,1903562
Brazil,2001,1819569
Brazil,2002,2610524
Brazil,2003,1987074
Brazil,2004,2465710
Brazil,2005,2140169
Brazil,2006,2573368
Brazil,2007,2249011
Brazil,2008,2796927
Brazil,2009,2440056
Brazil,2010,2907265
Brazil,2011,2700540
Brazil,2012,3037534
Brazil,2013,2964538
Brazil,2014,2804070
Brazil,2015,2647504
Brazil,2016,3024466
Brazil,2017,2684508
Brazil,2018,3552729
Brazil,2019,3011745
Brazil,2020,3705719
Brazil,2021,2985581
Brazil,2022,3179341
Brazil,2023,3348510
Brazil,2024,3387724
Colombia,1961,450000
Colombia,1962,482100
Colombia,1963,450000
Colombia,1964,468000
Colombia,1965,492000
Colombia,1966,492000
Colombia,1967,456000
Colombia,1968,480000
Colombia,1969,474000
Colombia,1970,507000
Colombia,1971,468000
Colombia,1972,432000
Colombia,1973,528000
Colombia,1974,470000
Colombia,1975,513200
Colombia,1976,483000
Colombia,1977,639420
Colombia,1978,683220
Colombia,1979,713340
Colombia,1980,724380
Colombia,1981,782200
Colombia,1982,773600
Colombia,1983,768600
Colombia,1984,807800
Colombia,1985,643100
Colombia,1986,713500
Colombia,1987,651600
Colombia,1988,708700
Colombia,1989,664000
Colombia,1990,845000
Colombia,1991,970740
Colombia,1992,1100000
Colombia,1993,818220
Colombia,1994,721860
Colombia,1995,821820
Colombia,1996,671401
Colombia,1997,642239
Colombia,1998,766980
Colombia,1999,546720
